peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(reward_seq_2)[T.01]_beta,C(reward_seq_2)[T.01]_se,C(reward_seq_2)[T.01]_tstat,C(reward_seq_2)[T.01]_pvalue,C(reward_seq_2)[T.10]_beta,C(reward_seq_2)[T.10]_se,C(reward_seq_2)[T.10]_tstat,C(reward_seq_2)[T.10]_pvalue,C(reward_seq_2)[T.11]_beta,C(reward_seq_2)[T.11]_se,C(reward_seq_2)[T.11]_tstat,C(reward_seq_2)[T.11]_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.05706029005569513,0.05603896353531146,3698,-0.17239673177253959,0.08080036211775936,-2.133613355857077,0.032940159336205914,-0.5089284118762895,0.11024384517277001,-4.616388434916398,4.0376013520490524e-06,0.8663680883548868,0.11048402667412854,7.841568726583709,5.778520538908233e-15,0.5352265464513623,0.08813678960065487,6.07268030610665,1.3851826869525636e-09,0.013588325385475972,0.02760077919686014,0.49231673093568956,0.6225247193618834
-2.106,0.049658855084228404,0.048629511845760254,3698,-0.1402197087303751,0.07539226369904695,-1.8598686635820918,0.06298356402396438,-0.4648639000896511,0.10286504699507484,-4.519162861140857,6.402919515926752e-06,0.7560963134412119,0.10308915276157703,7.334392544576436,2.72364096652495e-13,0.43050071763666836,0.08223765227036653,5.234837154900089,1.7433274385433736e-07,0.011021107720311752,0.025753414575990927,0.42794743538926183,0.6687143446569188
-2.052,0.0475676059324901,0.046535997598812995,3698,-0.15963997403983307,0.06930331688607663,-2.3034968773897964,0.021306188828998502,-0.41239425075897507,0.09455730069146279,-4.361315813197791,1.3281148420485851e-05,0.6986275046623074,0.09476330688082323,7.372341971359435,2.0586065042735103e-13,0.3782436498489836,0.07559584757941468,5.003497704707027,5.892392745187247e-07,0.00446192854335215,0.023673477405891527,0.1884779522184488,0.8505123533718552
-1.998,0.04368269650792134,0.042646880311341895,3698,-0.15398600686660865,0.06307368463092315,-2.44136691502424,0.014678419546398785,-0.37229033934049793,0.08605760346461724,-4.326059805901588,1.558160088056655e-05,0.6190564866117254,0.08624509188513683,7.177874973293539,8.518439665426462e-13,0.29922943067965685,0.06880058363540277,4.34922808599086,1.4030693062841744e-05,0.006859221100968789,0.02154548317609417,0.31836004998854933,0.750229840514176
-1.944,0.041619526474259705,0.040581475595813266,3698,-0.18289229958551065,0.057512941540974784,-3.180019916999203,0.0014848353766622163,-0.29523433770092006,0.07847053721656788,-3.7623590735222563,0.00017093034110857587,0.6120927902215675,0.07864149616136473,7.783330939757458,9.105122922603245e-15,0.24554643464320616,0.06273494196132476,3.914029836746836,9.240499755139409e-05,0.015517018574157933,0.019645976315314933,0.7898318884799689,0.42967666267805593
-1.89,0.03814517443642651,0.03710336038220119,3698,-0.23574945321263102,0.05311326988432931,-4.438616822614177,9.318379626954695e-06,-0.21080818473096252,0.07246763440507614,-2.90899774032359,0.0036475388804186595,0.5909576872715604,0.0726255151938316,8.137053288976226,5.478621223723197e-16,0.2238061560650364,0.05793579348042338,3.863003207864253,0.00011392269600616486,0.009299390627719476,0.01814308248228018,0.5125584716269642,0.6082908627074847
-1.836,0.03475822118008931,0.03371273861434887,3698,-0.24929552752427087,0.04927406035772389,-5.059366443812721,4.411385733058889e-07,-0.17082492976297553,0.06722942495225137,-2.540925047095096,0.011096546611072525,0.5391880279889375,0.06737589357546744,8.002684630594107,1.6155917134813347e-15,0.19218961603823426,0.05374799538879974,3.575754121581316,0.00035369334197023276,0.0028409529055271466,0.01683163818107911,0.1687864766913025,0.8659738392495424
-1.782,0.03059742054868353,0.029547431293930004,3698,-0.2043140218580686,0.046391117796654335,-4.40416251131598,1.0920350613281113e-05,-0.19894313062548508,0.06329594414827507,-3.143062850274375,0.0016851502097837662,0.4462847778079432,0.06343384313820609,7.035436538751137,2.356787777111194e-12,0.09054480058600672,0.050603290398920586,1.7893065820861744,0.07364737434399087,0.0036341956308933022,0.01584684728435834,0.22933240698800966,0.8186232670721313
-1.728,0.023742976677301186,0.022685563167068157,3698,-0.2418169356519334,0.044233593098869546,-5.46681647840436,4.885299184472193e-08,-0.1317152102718856,0.06035222196059027,-2.1824417725315075,0.029139739938626435,0.3997612032023417,0.06048370764360596,6.609403073599482,4.412028580811959e-11,0.08658633129832466,0.04824986901115827,1.7945402355040736,0.07280873847801396,-0.0010507458783866376,0.015109853523011793,-0.06954044106293865,0.9445632082664437
-1.674,0.019702621156079125,0.018640831414574843,3698,-0.24602031769122362,0.04246322926840886,-5.7937260526309995,7.459677489063766e-09,-0.08858365393510359,0.05793674125098239,-1.5289719791342518,0.12635703442000792,0.36408530416208795,0.058062964474380245,6.270525583011478,4.0133513349060685e-10,0.06937987540168152,0.04631876152163346,1.4978784648479262,0.1342502943306512,-0.007488626266148013,0.014505110921593267,-0.5162750086247151,0.6056932587351204
-1.6199999999999999,0.01295806496544738,0.011888969991134424,3698,-0.23456711197611682,0.0407203013049265,-5.760446373409766,9.074392868251659e-09,-0.05922967333704071,0.05555869398092927,-1.0660738957861666,0.28645992917035246,0.2760186337846712,0.05567973629864728,4.957254687849105,7.47097718887672e-07,0.02350378615566724,0.04441758099248358,0.5291550244405384,0.5967297168844721,-0.012509770814057483,0.01390974020028388,-0.8993533045140681,0.368523139407709
-1.566,0.010624288861171838,0.00955266610337191,3698,-0.20997719502395273,0.04001142570439117,-5.247930842936901,1.6247420143036451e-07,-0.08733794682835924,0.054591505593354024,-1.599844991983364,0.10971851372645969,0.20882993192175564,0.054710440757074826,3.817003281859889,0.0001372964606189408,-0.02398395285473026,0.043644341640333595,-0.5495317824330673,0.5826737876779311,-0.010947412345798272,0.013667593774010415,-0.800975835747716,0.4231971626676493
-1.512,0.009004432403163287,0.007931055129838827,3698,-0.1622871688667873,0.03932044388260191,-4.127297477905492,3.751556364289162e-05,-0.09010651016983871,0.05364873144009574,-1.679564600151856,0.09312664669512248,0.1247099789454356,0.05376561263961368,2.319511911476876,0.02042157426593474,-0.0944230289152017,0.04289062076769495,-2.2014843158045587,0.027763391047662234,-0.014482011768177443,0.013431559724256355,-1.0782077484288033,0.2810114745692838
-1.458,0.00977817450272922,0.008705635292875824,3698,-0.11006284791460409,0.0385066266419476,-2.858283301157987,0.00428325095123314,-0.10884363594214759,0.052538360898106484,-2.071698356810945,0.038362849470494946,0.033223012859819004,0.05265282300145246,0.6309825564130251,0.5280909775265585,-0.16464502792448815,0.04200291139321964,-3.9198479929909364,9.021146689372872e-05,-0.017315510181667552,0.013153566044807725,-1.316411847759165,0.18811754175012083
-1.404,0.008051716533355235,0.006977307344655959,3698,-0.09065538491520303,0.03878565497642829,-2.3373431483959264,0.019474503819495552,-0.10308957868726096,0.05291906657440621,-1.948061168885379,0.05148330463458506,-0.010623521883670158,0.05303435809785057,-0.20031395240174912,0.841246081094882,-0.1622522973503714,0.04230727465303899,-3.835092160414464,0.0001276117557998505,-0.02950828244761405,0.013248879967268182,-2.227228454066705,0.025992060203424434
-1.35,0.01106914626148292,0.009998005342188643,3698,-0.019662448388353897,0.03853104080829431,-0.5103015121284058,0.6098707416870521,-0.10305739067945034,0.05257167153563588,-1.9603217411413778,0.050033273724100394,-0.10169919770467045,0.05268620621082404,-1.930281282689453,0.053648477745305984,-0.22781814857816998,0.04202954229172278,-5.420428968674162,6.326161875827634e-08,-0.02367581249041137,0.013161905735335707,-1.798813406393652,0.07212982179617604
-1.296,0.015915592882199348,0.014849701295827633,3698,0.028945013472870568,0.038533548351166964,0.7511639781804311,0.4526018382179905,-0.05423712274937624,0.05257509282188969,-1.0316124963034694,0.30232123797229193,-0.14044100542102234,0.05268963495082429,-2.665438953071077,0.007722260536696431,-0.2622115881385623,0.042032277511872655,-6.238338811512097,4.921849392883793e-10,-0.012724573555900703,0.013162762292600312,-0.9667099711322794,0.3337523424375144
-1.242,0.02142929844588537,0.020369378920779502,3698,0.09453932574590351,0.03879819130011204,2.436694149338619,0.014869139322991347,-0.06183480550822272,0.05293617110823508,-1.1681012096963568,0.2428413461843348,-0.24267457190452835,0.053051499896277825,-4.574320657832235,4.934534865019814e-06,-0.3112149691172302,0.04232094923683938,-7.353685934017873,2.3627303298155423e-13,-0.014693782109534023,0.013253162278545842,-1.1087000823433855,0.26763178270056676
-1.188,0.021259614370035984,0.020199511054975194,3698,0.1206247314749289,0.03964794629078682,3.0423954519671814,0.0023635368007160194,-0.04071679808275822,0.05409557504122993,-0.7526826002260846,0.4516886423935802,-0.29573391039975805,0.054213429751485125,-5.454993564424997,5.218966467932596e-08,-0.29970110056918875,0.043247859399891085,-6.929848198913251,4.949752604006051e-12,-0.01504224813806879,0.013543432015640119,-1.1106673788961188,0.26678385658576736
-1.134,0.0265916331982331,0.025537305154039514,3698,0.18315345538421324,0.03932318147533019,4.657645910443856,3.311106134186467e-06,-0.05227849728096875,0.05365246660589169,-0.9743913111205952,0.32992610057391214,-0.37654314782992654,0.053769355942986166,-7.002932083270451,2.9649173366106204e-12,-0.3243981334759892,0.042893606925528655,-7.562855090251683,4.9471598192267704e-14,-0.015273505693884666,0.013432494864773596,-1.1370565071972651,0.2555884353154961
-1.08,0.032225286778845175,0.03117706071524262,3698,0.20651299124010014,0.03978661916071046,5.19051368516461,2.2101465686796225e-07,0.028143987544093207,0.0542847800150795,0.5184507984793386,0.6041748407674263,-0.4153085653700451,0.05440304693460236,-7.633921053526388,2.8812642061223195e-14,-0.29727209520605175,0.04339912334524279,-6.84972580762135,8.631296773641524e-12,0.007964293467111371,0.013590801596209314,0.5860061609120051,0.5579071860188833
-1.026,0.032953779423155805,0.031906342411970545,3698,0.20666540818236798,0.040342987674503526,5.12270954867775,3.165821575111164e-07,0.0791056108163511,0.055043888052296146,1.4371370485528634,0.15076377207235633,-0.4193939086435305,0.05516380879392387,-7.60270035396333,3.65575393338546e-14,-0.2524734377683852,0.044006008430350976,-5.737249225136586,1.0395948562756477e-08,0.01838358173045655,0.013780852780372417,1.3339944939140223,0.18228791848047007
-0.972,0.028190928244913205,0.027138332445557634,3698,0.21513793285860017,0.04157416529757397,5.17479861155876,2.4030399262954107e-07,0.08331325438088946,0.05672370422762643,1.468755532018182,0.1419842806462653,-0.4119296980871734,0.05684728468168858,-7.246251081185986,5.191039587748754e-13,-0.20708718334053508,0.04534897324240773,-4.566524190825101,5.120507345662134e-06,0.02452023560184278,0.014201413540693729,1.726605279930816,0.08432220498273167
-0.918,0.030054730454809997,0.029004153396001264,3698,0.26644817085444905,0.04297624437450974,6.199894260943982,6.272220251492078e-10,0.07193192196003442,0.05863669798936743,1.226738960865051,0.21999892280885947,-0.4495378594265416,0.05876444616556468,-7.6498272128695035,2.5512547217755567e-14,-0.22322995593816644,0.046878356841298895,-4.761898048045603,1.991441828061199e-06,0.03313215291212165,0.014680352916765364,2.256904387787832,0.02407225663897209
-0.864,0.025921472967176618,0.02486641905216691,3698,0.2601173570119269,0.044774127881542024,5.809546032925844,6.793724090886913e-09,0.08334088120993326,0.06108972648816396,1.3642372621537342,0.17257603434430774,-0.43337590561591544,0.06122281892704356,-7.078666307939034,1.7340579522867899e-12,-0.1714867647816334,0.04883948271044847,-3.5112322093646258,0.00045137096252442543,0.039321321346203045,0.015294496027002337,2.5709458668518073,0.010180933858043091
-0.8099999999999999,0.02217284656955054,0.021113732403907015,3698,0.22531253244032243,0.04644516314989224,4.851151705790599,1.2781470798248626e-06,0.15121249623120914,0.06336968351525939,2.3861961720985594,0.017073749582614945,-0.3752650696076241,0.06350774315662491,-5.9089655993936505,3.754282046196224e-09,-0.07971484408697033,0.05066224290609228,-1.5734566713662885,0.1156987743940098,0.03305620887877803,0.01586530875931017,2.0835528246104764,0.03726946555678253
-0.756,0.020805445045920856,0.01974484980632807,3698,0.1673503590607105,0.04745719652377814,3.5263431327398496,0.00042646343265762216,0.241907124372903,0.06475049973508955,3.735988530785174,0.00018980479553775992,-0.28370145241442507,0.06489156767603188,-4.3719309391752,1.2654573625606153e-05,0.062632419108563,0.051766165836697776,1.2099103361478238,0.22639074039758786,0.0205595935624757,0.016211011537866634,1.268248653975194,0.20478911098517094
-0.702,0.022446990008588963,0.02138817277599614,3698,0.13304367455501767,0.048682263890167526,2.732898265684165,0.006307867221873337,0.3013561783692786,0.06642197908897675,4.536994869809457,5.8876248877336825e-06,-0.18310165987889723,0.06656668857943214,-2.7506499690217763,0.0059767064701112425,0.2174381864686022,0.05310246559932418,4.094690971776072,4.317861694856321e-05,0.002896339910252571,0.016629485081731614,0.17416894726550233,0.8617422355868943
-0.648,0.030455142344799735,0.02940499898422011,3698,0.14234890921521287,0.050609244261425185,2.8127056883106327,0.004938612946509037,0.3182046937403131,0.0690511470794653,4.608246310146266,4.198001171683003e-06,-0.13650387086682333,0.0692015845769064,-1.9725541214323108,0.04862086783148194,0.3546609631744721,0.05520440993589293,6.424504194254196,1.491637117025762e-10,-0.0032332121687186997,0.0172877266830038,-0.18702355885215316,0.8516524350284329
