peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(Q_diff_bin)[T.1]_beta,C(Q_diff_bin)[T.1]_se,C(Q_diff_bin)[T.1]_tstat,C(Q_diff_bin)[T.1]_pvalue,C(Q_diff_bin)[T.2]_beta,C(Q_diff_bin)[T.2]_se,C(Q_diff_bin)[T.2]_tstat,C(Q_diff_bin)[T.2]_pvalue,C(Q_diff_bin)[T.3]_beta,C(Q_diff_bin)[T.3]_se,C(Q_diff_bin)[T.3]_tstat,C(Q_diff_bin)[T.3]_pvalue,C(Q_diff_bin)[T.4]_beta,C(Q_diff_bin)[T.4]_se,C(Q_diff_bin)[T.4]_tstat,C(Q_diff_bin)[T.4]_pvalue,Reward_beta,Reward_se,Reward_tstat,Reward_pvalue,Q_chosen_beta,Q_chosen_se,Q_chosen_tstat,Q_chosen_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.04455243053435698,0.04273992837005902,3698,0.08420651751093235,0.07717157789051723,1.0911597224355776,0.27527384975146646,0.4165845023552468,0.0892880183766784,4.6656260260789555,3.1859671194708926e-06,0.04465508278172718,0.1324554976600318,0.3371327243535152,0.7360360233622995,0.17387418462022186,0.1197634087827659,1.4518139253668485,0.1466383650490467,-0.03724147825230715,0.12301259919470528,-0.30274523500931033,0.7621010865973956,-0.0003432915686221516,0.0302795105133073,-0.011337421338805366,0.9909548532289396,0.3257826980896278,0.04836351095343738,6.736125886379081,1.8793742411877208e-11,0.06574623080333084,0.04655429174392212,1.4122485455256508,0.1579611177399231
-2.106,0.03888682430765489,0.03706357438086727,3698,0.06826458677546057,0.07193775634228565,0.9489396145558413,0.3427134678052248,0.3594516185729525,0.08323245274807693,4.31864743504459,1.611173865299969e-05,0.06662165048824253,0.12347228833887058,0.5395676340378412,0.5895277985124814,0.11593709029916617,0.11164098435254143,1.0384814409469774,0.2991140136128889,-0.06936250111282079,0.11466981277037408,-0.6048889366525693,0.5452899886190781,-0.003986186843157502,0.02822593640057782,-0.14122425511721554,0.887700494211489,0.30054123097423935,0.045083469353985536,6.666328818096392,3.012928010257843e-11,0.06902631182929908,0.043396952449425985,1.590579705101207,0.11178985721696047
-2.052,0.03699674328390046,0.03516990783755558,3698,0.010638330881962985,0.06612008835795545,0.16089408145328046,0.8721856314787434,0.30335302731028335,0.07650137298926696,3.965327881799499,7.468497816427281e-05,0.07936270174638174,0.11348697860244782,0.6993110815329254,0.4844017203902168,0.14786315134556677,0.10261248230534716,1.440986008949338,0.14967348355828367,-0.03047686645910744,0.10539636677423854,-0.28916429846571085,0.7724718953380506,-0.0021764140620125863,0.025943280742760783,-0.08389124273035102,0.9331474529516715,0.2714893615471121,0.04143753056441222,6.55177463157699,6.472513142606334e-11,0.039899896732546646,0.03988740372676,1.0003132067926062,0.31722454866288685
-1.998,0.031163387412656562,0.02932548597956408,3698,-0.0321268619537772,0.06023585406051084,-0.5333511486614546,0.5938226489075311,0.2564186741845546,0.06969327557251742,3.679245552431313,0.00023726417485909554,0.08357466524564716,0.10338741599765071,0.8083640009684181,0.4189331803886768,0.14340209346256486,0.09348067527480793,1.53402928510092,0.12510817801521767,-0.010123017159437614,0.09601681312268315,-0.10542963081375316,0.916040635538709,-0.01239805557922769,0.023634506720736657,-0.5245743321712643,0.5999106447768665,0.23210275518751913,0.03774987459473917,6.1484377810321265,8.658376950150527e-10,0.03009046573862485,0.03633769841217565,0.828078470939768,0.407679613980633
-1.944,0.026677944016800792,0.02483153361249668,3698,-0.059423281070452576,0.05499300990723888,-1.080560623444445,0.27996322331292867,0.23279577929082704,0.06362727073110377,3.6587421810790692,0.0002569987291572113,0.003438647417202401,0.09438872048748727,0.03643070273061121,0.9709409037644974,0.1292852504803383,0.0853442485659561,1.5148677579652425,0.12989154613547066,-0.01769473295155052,0.0876596445368378,-0.20185722911658105,0.8400394669774485,-0.017359063792255207,0.021577392443718132,-0.8045023900609911,0.4211587177507694,0.17035893802542915,0.03446417851899402,4.943072643717311,8.032141630186265e-07,0.03675943972891921,0.03317491616836032,1.108049212313535,0.26791278093316423
-1.89,0.022770336814376235,0.020916513605081066,3698,-0.12624003239262196,0.05079596340521698,-2.485237486009696,0.012990479461780606,0.1720949138910133,0.058771260585348366,2.9282154607028534,0.003429998050335744,0.01924311006987222,0.08718500769161457,0.22071581547526797,0.8253259271693011,0.17129819327497586,0.07883080657549899,2.172985419233503,0.02984483410101135,0.031083047439385086,0.08096949236854578,0.38388591221377,0.7010851260746339,-0.017054670266868095,0.019930613705267226,-0.8557022136433721,0.39221807441372414,0.14435196325176053,0.03183388495728152,4.5345380699047295,5.956334739110394e-06,0.0035319419621709035,0.03064301864003539,0.1152609017949814,0.9082445990608445
-1.836,0.019208429961113827,0.01734784974694792,3698,-0.14214400469048266,0.0471271594158458,-3.0161801910490045,0.0025772629525336777,0.1020132078586911,0.05452643046812386,1.8708946648970173,0.06143876777466661,-0.02010087046423883,0.08088795803275328,-0.24850263195047592,0.8037593626994236,0.16866453325144026,0.0731371498700956,2.306140361649559,0.021157955394186138,0.050114698713048876,0.07512136632259761,0.6671164432478331,0.5047394710452151,-0.019282023596146114,0.018491099417701017,-1.0427732370357583,0.29712164066111785,0.11096985649371073,0.029534641546997812,3.7572779177674085,0.00017442604522460795,-0.018679989922546093,0.02842978708586448,-0.6570569757039768,0.5111852596138398
-1.782,0.013886237159901227,0.0120155606450284,3698,-0.20021877098505045,0.044394469162643085,-4.5099935816673735,6.6845859957934e-06,0.10278783024895403,0.05136469004223948,2.001137944460037,0.045450635825241364,0.04340616118110967,0.07619763217273014,0.5696523624607328,0.5689481823931409,0.20445835164617013,0.06889625822556683,2.967626354638478,0.0030203707641625393,0.0718827043079457,0.0707654189643953,1.0157885780922538,0.30979667342281386,-0.021837809886657983,0.01741888441946873,-1.2536859055250582,0.21003561465884488,0.09292688484382682,0.027822061623070132,3.3400430961151915,0.0008459758674168496,-0.02825412178846716,0.02678127266163105,-1.054995486788282,0.29149645869512963
-1.728,0.011677582815563303,0.009802716441500658,3698,-0.22264673459626844,0.04222815061044511,-5.272471831650541,1.4232192084278293e-07,0.08833473480811532,0.0488582453642156,1.8079800891256077,0.07069098658551301,0.04077032187157619,0.07247941349993554,0.5625089925929443,0.5738034487282511,0.15625940733404264,0.06553432496707301,2.384390278110798,0.017157684922850483,0.06384459094465476,0.06731227620025947,0.9484836132225263,0.3429454226453649,-0.024688921363647726,0.016568894472787702,-1.4900765651079577,0.13628957264659083,0.08808211579075508,0.026464427453965815,3.3283212321132445,0.0008822779900234857,-0.025313684864558133,0.0254744259099374,-0.9936901013609667,0.320438918572346
-1.674,0.009659477686666196,0.007780782928890284,3698,-0.22768690167911723,0.04049570634225619,-5.622494882661968,2.0217637940197614e-08,0.06213496160674889,0.04685379605939411,1.3261457306038478,0.18487350862050847,0.046431232619396974,0.06950588653594392,0.6680187093993221,0.504163429226319,0.13523985652139575,0.06284572591602308,2.1519340344975655,0.03146723324047324,0.0619460889003252,0.06455073525195555,0.9596496253456471,0.33729445830809934,-0.025234301996794987,0.015889142083808865,-1.5881475452667075,0.11233865378511704,0.0816701115534217,0.025378702765795732,3.218056978999454,0.001301790536305971,-0.03211087301509228,0.02442931684133997,-1.314440073115486,0.18877984676470583
