peth_time,r_squared,r_squared_adj,n_trials,Intercept_beta,Intercept_se,Intercept_tstat,Intercept_pvalue,C(reward_seq_3)[T.001]_beta,C(reward_seq_3)[T.001]_se,C(reward_seq_3)[T.001]_tstat,C(reward_seq_3)[T.001]_pvalue,C(reward_seq_3)[T.010]_beta,C(reward_seq_3)[T.010]_se,C(reward_seq_3)[T.010]_tstat,C(reward_seq_3)[T.010]_pvalue,C(reward_seq_3)[T.011]_beta,C(reward_seq_3)[T.011]_se,C(reward_seq_3)[T.011]_tstat,C(reward_seq_3)[T.011]_pvalue,C(reward_seq_3)[T.100]_beta,C(reward_seq_3)[T.100]_se,C(reward_seq_3)[T.100]_tstat,C(reward_seq_3)[T.100]_pvalue,C(reward_seq_3)[T.101]_beta,C(reward_seq_3)[T.101]_se,C(reward_seq_3)[T.101]_tstat,C(reward_seq_3)[T.101]_pvalue,C(reward_seq_3)[T.110]_beta,C(reward_seq_3)[T.110]_se,C(reward_seq_3)[T.110]_tstat,C(reward_seq_3)[T.110]_pvalue,C(reward_seq_3)[T.111]_beta,C(reward_seq_3)[T.111]_se,C(reward_seq_3)[T.111]_tstat,C(reward_seq_3)[T.111]_pvalue,Port_beta,Port_se,Port_tstat,Port_pvalue
-2.16,0.0570521758794843,0.0563553734969825,10835,0.20546709359682408,0.05757590233711339,3.5686300215286444,0.0003604049901975422,-0.14556733213620382,0.08640116721349535,-1.6847843244583747,0.09205901362841834,-0.535091408605108,0.10700940992889789,-5.000414533269999,5.810379463738516e-07,-0.7504524518715526,0.07796533607933265,-9.625462925061198,7.634861345157691e-22,0.7508220312744683,0.08641478684280263,8.688582807480515,4.198004839928858e-18,0.7689438430930965,0.08617590497321578,8.922956403325163,5.271169384890115e-19,0.5764905162068138,0.07797625422345807,7.393154774461899,1.5397550997896195e-13,0.2896623984236502,0.06264542008962881,4.62383998717258,3.810619365412128e-06,-0.02501188037537885,0.016885861235711716,-1.4812321400866133,0.13857382733890433
-2.106,0.05275592496526449,0.05205594781763123,10835,0.14418368587332037,0.053268194709405345,2.706749997064617,0.006805195173072981,-0.10916742213051332,0.0799368140389809,-1.3656714173932205,0.1720704914507709,-0.43839284549338764,0.09900319148201629,-4.428067812066652,9.60131673444059e-06,-0.6399160647711399,0.0721321340053241,-8.87144229954305,8.355053460935541e-19,0.7239659676983526,0.07994941467633718,9.055300412507293,1.595423076730665e-19,0.6812392182656958,0.07972840544460698,8.544498218254237,1.464133602207171e-17,0.5334715250888195,0.0721422352769244,7.39471854512189,1.5218333076159808e-13,0.2748999435581873,0.05795842183155516,4.743054328793326,2.132086952320019e-06,-0.023104623051021272,0.015622496697895219,-1.478932817065924,0.1391873660768349
-2.052,0.049144294554217316,0.04844164854982358,10835,0.11491218039124884,0.04891553875214996,2.3491958449746844,0.01883188063192746,-0.10024100869655096,0.07340500924009681,-1.365588121768061,0.17209664810002645,-0.3890986737210077,0.09091343297710856,-4.27988099205296,1.886024637710956e-05,-0.5802304483798968,0.06623806598780255,-8.759773398075115,2.2478277947430134e-18,0.6530681281168641,0.073416580252936,8.895376573887031,6.747531828416811e-19,0.597722032580657,0.07321363014925297,8.164081351548115,3.5982723105602e-16,0.45178168327691387,0.06624734186330584,6.819619785034033,9.614712671233807e-12,0.2158135760502834,0.05322251757509468,4.05492986583695,5.050063015622515e-05,-0.0224218678080652,0.014345949713522014,-1.5629406387038354,0.11809578686101183
-1.998,0.04605204292462883,0.04534711186453244,10835,0.08835793693002585,0.04436178948990994,1.991757725420946,0.046422726530510244,-0.07899574852244115,0.06657143415947642,-1.1866313159665667,0.23539911701003316,-0.287685582607669,0.08244992651457327,-3.489215755174988,0.00048636633226628584,-0.5358608764962473,0.0600716912157184,-8.920356088726757,5.39549559731785e-19,0.5964820217390728,0.06658192797900395,8.958617448373806,3.8262535425411045e-19,0.4964194324177235,0.06639787133757226,7.476435952199222,8.226852375728685e-14,0.39223418600100995,0.060080103561711284,6.5285204709763285,6.939547823471316e-11,0.15275745221200285,0.048267813889417865,3.1647891193492206,0.0015562511852490926,-0.018974239746391803,0.01301042608257331,-1.4583872677165175,0.14476283763709574
-1.944,0.043248653794834224,0.04254165113737607,10835,0.030245801082944754,0.040408510158855174,0.7485007728332852,0.4541744195920341,-0.04953805772696098,0.060638953127321704,-0.816934580366971,0.4139837912047205,-0.24870566601774516,0.07510244134580696,-3.311552348512711,0.0009308362806606679,-0.4376324022880812,0.0547184316201239,-7.997897405508463,1.394592720316198e-15,0.5596856725385214,0.060648511795217186,9.228349649012474,3.259263356262821e-20,0.4567986240363994,0.060480857272020176,7.552780245522824,4.603918245301257e-14,0.37557509730850075,0.05472609430398815,6.862815665636325,7.120742389361724e-12,0.14177689684813763,0.04396645109052458,3.2246609251273557,0.0012649616841221695,-0.016549837664619628,0.011851008279282225,-1.3964919502715927,0.16259503238541057
-1.89,0.04091802190767335,0.040209297002376965,10835,0.014091829110817996,0.03686647131259283,0.3822397047803302,0.7022910766912952,-0.08651330776415003,0.05532359933849644,-1.5637686050544168,0.11790114829538931,-0.2550591192348883,0.06851927944129184,-3.7224431038190655,0.00019830432903254058,-0.4028700391665677,0.04992204566966203,-8.06998258509656,7.774358908182699e-16,0.49671921969977684,0.05533232013405089,8.977017744717728,3.241719223359921e-19,0.3917474427557885,0.055179361496239934,7.099528376791442,1.3302897627990638e-12,0.2859580398413063,0.0499290366751148,5.727289346718581,1.0476653117184985e-08,0.09755260741806929,0.04011253821220471,2.431972938286607,0.015032931929910103,-0.012535418987426423,0.010812199089644347,-1.1593773739731201,0.2463279654670788
-1.836,0.03981587635052053,0.03910633700180488,10835,-0.029315137860298508,0.03423489009973588,-0.8562942008838133,0.39185402051604934,-0.08507116882597027,0.05137452204785045,-1.6559019030237325,0.09777066817757166,-0.2566236594742431,0.06362827571686956,-4.033170105318527,5.540708004317539e-05,-0.35087023970257813,0.046358538970641607,-7.568621606577824,4.078578106935733e-14,0.46967062996958275,0.05138262034060154,9.140651583283663,7.315513102775269e-20,0.35478948035580354,0.05124058010814037,6.923994217220809,4.63960678601918e-12,0.2620761413347679,0.04636503094817134,5.652452634566921,1.6217568014148022e-08,0.06625680810753351,0.03724924812229617,1.7787421611840366,0.07531009744928509,-0.022026167807761107,0.010040408924192359,-2.193752064688229,0.028274421084227327
-1.782,0.03525240218732917,0.034539490605719925,10835,-0.06615957470915124,0.03183013257548579,-2.0785202371448657,0.03768496504129327,-0.06851310839649251,0.04776582728968402,-1.4343540619737005,0.1515001337366642,-0.21453125187073246,0.059158841921713834,-3.6263598965413535,0.00028876509743800424,-0.29815289131947775,0.043102181346062814,-6.91735039871045,4.861398304380689e-12,0.4159498875896995,0.04777335673497072,8.706733543913165,3.5816207723382896e-18,0.3303549716202592,0.04764129381853897,6.934214945516572,4.317640850191321e-12,0.21090859882182508,0.0431082173083471,4.892538174641394,1.0097741230887467e-06,0.03324584203569984,0.034632753387427974,0.959953765840876,0.3370999229570498,-0.024790174525959913,0.009335141612491958,-2.6555756254181055,0.00792891305530024
-1.728,0.02982862827558963,0.029111708732471597,10835,-0.09855171634947672,0.030208332847463392,-3.2624016971447056,0.0011081466893414164,-0.04510014292176938,0.045332076644019545,-0.9948836731202173,0.31981508023093735,-0.21204778739431068,0.05614459768282407,-3.7768155111240738,0.00015969654621668592,-0.24669160114448666,0.04090605144247413,-6.030687207524959,1.685955626308863e-09,0.37501763263735294,0.045339222451183187,8.27137326938359,1.4793598896186783e-16,0.2666022033277402,0.04521388836635283,5.896467058253269,3.824624058989074e-09,0.16337847227216434,0.040911779862150235,3.993433500636203,6.555379851344189e-05,-0.000560648721608189,0.0328681553327012,-0.017057504929410747,0.986391054459023,-0.03296488409272089,0.008859500171405093,-3.7208514538007793,0.0001995568661789232
-1.674,0.022331816854503694,0.021609357454433153,10835,-0.10514641554394687,0.02891578103564221,-3.6362986500119483,0.0002778673088365486,-0.02782542403288002,0.04339241125117201,-0.6412509291501626,0.52137324004996,-0.23204881149931544,0.05374228697520091,-4.317806787909735,1.589899583746871e-05,-0.19864320624878984,0.03915576647397213,-5.073153308870437,3.977634543103451e-07,0.30009477218602837,0.043399251304090856,6.914745373907894,4.951170589730904e-12,0.21282367928653464,0.04327928000439825,4.9174496263548395,8.896684612346166e-07,0.0852358138633211,0.039161249786469746,2.176534567412355,0.029536851174797756,-0.039269857059549294,0.03146179524189366,-1.2481759784406274,0.2119936127423278,-0.0281768606714644,0.008480420562603003,-3.3225782216177873,0.0008948527680447422
